date,Negative,Neutral,Positive
2010-01-02,0,0,1
2010-01-03,0,1,1
2010-01-04,1,0,0
2010-01-05,0,0,1
2010-01-07,1,0,1
2010-01-08,0,0,2
2010-01-12,1,0,0
2010-01-13,1,0,2
2010-01-14,1,1,0
2010-01-15,1,1,1
2010-01-19,1,0,0
2010-01-25,0,0,1
2010-01-27,0,0,12
2010-01-28,0,0,1
2010-02-01,0,1,0
2010-02-02,2,0,0
2010-02-10,0,0,1
2010-02-11,0,0,1
2010-02-13,0,0,2
2010-02-14,0,1,0
2010-02-17,0,0,1
2010-02-19,0,1,0
2010-02-20,0,0,2
2010-02-23,1,0,0
2010-02-25,0,0,1
2010-02-27,2,0,0
2010-03-01,0,10,0
2010-03-02,0,1,0
2010-03-07,0,0,1
2010-03-08,0,0,10
2010-03-10,1,0,1
2010-03-12,1,0,0
2010-03-15,13,0,0
2010-03-16,0,0,1
2010-03-18,1,0,0
2010-03-19,1,2,0
2010-03-23,0,2,0
2010-03-24,0,1,2
2010-03-29,0,1,0
2010-03-30,0,1,0
2010-04-02,0,4,1
2010-04-03,0,1,0
2010-04-06,0,1,0
2010-04-07,0,1,0
2010-04-08,0,2,0
2010-04-09,0,1,10
2010-04-10,0,0,1
2010-04-11,0,1,0
2010-04-12,1,0,0
2010-04-13,1,0,0
2010-04-14,0,1,0
2010-04-15,0,12,1
2010-04-16,2,1,2
2010-04-18,0,2,0
2010-04-19,1,1,1
2010-04-20,0,2,0
2010-04-21,0,2,0
2010-04-22,1,1,0
2010-04-23,1,2,0
2010-04-24,0,1,0
2010-04-26,5,0,5
2010-04-27,0,3,4
2010-04-28,0,1,0
2010-04-29,1,1,0
2010-04-30,0,4,0
2010-05-01,0,0,1
2010-05-02,0,1,0
2010-05-03,0,1,0
2010-05-04,0,1,1
2010-05-05,1,1,0
2010-05-06,1,1,0
2010-05-07,0,1,1
2010-05-09,0,1,0
2010-05-10,1,0,0
2010-05-11,0,0,3
2010-05-14,0,1,0
2010-05-18,0,1,2
2010-05-19,0,0,1
2010-05-20,0,1,0
2010-05-21,0,1,1
2010-05-25,0,0,1
2010-05-27,1,1,8
2010-05-28,2,3,2
2010-05-30,0,0,1
2010-06-03,0,3,0
2010-06-05,1,0,0
2010-06-06,1,0,0
2010-06-07,0,1,0
2010-06-08,1,0,0
2010-06-10,0,0,2
2010-06-11,0,1,0
2010-06-12,0,0,1
2010-06-13,0,1,0
2010-06-14,1,0,0
2010-06-15,1,0,11
2010-06-16,0,2,0
2010-06-17,1,2,3
2010-06-18,0,0,10
2010-06-21,0,3,0
2010-06-22,0,3,0
2010-06-23,0,1,0
2010-06-25,0,1,0
2010-06-26,0,0,1
2010-06-27,0,3,2
2010-06-28,1,3,0
2010-06-29,1,2,1
2010-06-30,0,1,12
2010-07-01,0,3,1
2010-07-02,1,3,1
2010-07-03,0,1,1
2010-07-04,0,1,1
2010-07-06,0,2,12
2010-07-07,0,3,1
2010-07-08,0,1,2
2010-07-09,0,0,1
2010-07-10,0,1,2
2010-07-11,0,1,1
2010-07-12,0,2,2
2010-07-13,1,2,0
2010-07-14,0,1,0
2010-07-15,0,3,3
2010-07-16,0,1,2
2010-07-17,1,0,0
2010-07-18,0,0,1
2010-07-19,1,0,0
2010-07-20,1,0,1
2010-07-21,2,1,0
2010-07-22,1,1,0
2010-07-23,1,0,0
2010-07-24,0,2,0
2010-07-25,0,0,1
2010-07-26,0,1,1
2010-07-27,2,2,1
2010-07-30,1,2,1
2010-07-31,0,0,1
2010-08-01,0,0,1
2010-08-02,0,3,1
2010-08-03,0,1,0
2010-08-04,0,3,1
2010-08-05,1,1,0
2010-08-07,1,0,0
2010-08-09,0,2,2
2010-08-10,1,0,0
2010-08-11,0,1,0
2010-08-12,0,1,2
2010-08-13,0,1,1
2010-08-14,1,1,0
2010-08-15,0,1,12
2010-08-19,1,1,1
2010-08-20,0,1,0
2010-08-22,0,1,0
2010-08-23,0,13,0
2010-08-24,0,1,0
2010-08-25,0,1,0
2010-08-26,0,3,2
2010-08-27,11,1,1
2010-08-28,0,1,0
2010-08-30,0,0,1
2010-08-31,0,1,1
2010-09-01,1,0,1
2010-09-02,1,2,1
2010-09-03,0,3,0
2010-09-04,0,0,1
2010-09-07,1,0,0
2010-09-09,0,0,1
2010-09-10,0,2,0
2010-09-12,0,0,2
2010-09-13,0,0,1
2010-09-14,0,1,1
2010-09-16,1,2,2
2010-09-19,1,0,0
2010-09-20,1,0,0
2010-09-21,0,0,1
2010-09-22,0,3,1
2010-09-23,0,1,1
2010-09-24,0,1,1
2010-09-25,0,1,0
2010-09-27,1,4,2
2010-10-02,21,1,1
2010-10-04,2,0,1
2010-10-05,0,0,11
2010-10-06,1,3,10
2010-10-07,0,11,1
2010-10-08,2,2,6
2010-10-09,3,10,10
2010-10-10,0,0,10
2010-10-11,2,2,1
2010-10-12,2,0,2
2010-10-13,2,1,1
2010-10-14,0,2,1
2010-10-15,0,2,2
2010-10-17,0,0,1
2010-10-18,1,2,1
2010-10-19,7,4,4
2010-10-20,21,2,1
2010-10-21,2,2,1
2010-10-22,0,1,2
2010-10-23,0,3,1
2010-10-24,0,4,3
2010-10-26,11,1,1
2010-10-27,1,0,10
2010-10-28,0,1,0
2010-10-29,0,1,0
2010-10-31,2,0,0
2010-11-01,0,1,1
2010-11-02,1,0,0
2010-11-04,1,2,2
2010-11-05,3,11,2
2010-11-06,0,2,0
2010-11-07,1,0,0
2010-11-08,0,3,3
2010-11-09,0,20,3
2010-11-10,2,1,1
2010-11-11,1,12,1
2010-11-12,1,0,0
2010-11-13,0,0,1
2010-11-16,30,12,34
2010-11-17,3,2,0
2010-11-18,2,0,2
2010-11-19,0,0,1
2010-11-20,0,0,4
2010-11-21,0,0,1
2010-11-22,2,2,1
2010-11-23,1,0,0
2010-11-24,1,0,1
2010-11-26,0,1,0
2010-11-27,2,0,0
2010-11-29,0,0,2
2010-11-30,14,72,1
2010-12-01,7,9,1
2010-12-02,2,2,0
2010-12-03,2,2,1
2010-12-04,0,2,0
2010-12-05,0,1,1
2010-12-06,1,2,22
2010-12-07,1,2,0
2010-12-08,1,2,1
2010-12-09,0,12,1
2010-12-10,1,3,1
2010-12-11,0,1,1
2010-12-12,0,1,0
2010-12-13,3,2,32
2010-12-14,0,1,1
2010-12-15,0,5,0
2010-12-16,2,4,1
2010-12-17,2,1,3
2010-12-18,0,14,0
2010-12-19,1,1,0
2010-12-20,20,2,0
2010-12-21,10,1,0
2010-12-22,31,3,0
2010-12-23,1,1,0
2010-12-24,1,0,10
2010-12-25,3,2,1
2010-12-28,0,0,6
2010-12-29,0,0,3
2010-12-30,2,1,0
2011-01-01,2,2,2
2011-01-03,102,5,13
2011-01-04,1,13,3
2011-01-05,0,1,1
2011-01-06,1,3,3
2011-01-07,0,4,4
2011-01-08,0,2,2
2011-01-09,0,0,3
2011-01-10,0,2,1
2011-01-11,0,2,0
2011-01-12,0,1,1
2011-01-13,0,4,0
2011-01-14,0,12,0
2011-01-15,0,1,0
2011-01-16,0,2,0
2011-01-17,1,0,2
2011-01-18,2,0,7
2011-01-19,2,2,22
2011-01-20,0,3,1
2011-01-21,4,3,0
2011-01-22,1,1,2
2011-01-23,0,0,1
2011-01-24,0,2,0
2011-01-25,1,4,0
2011-01-26,1,0,20
2011-01-27,0,1,2
2011-01-28,0,1,1
2011-01-30,0,1,0
2011-01-31,0,12,1
2011-02-01,0,0,3
2011-02-02,1,42,40
2011-02-03,0,1,12
2011-02-04,1,0,0
2011-02-05,0,0,1
2011-02-06,0,1,1
2011-02-07,1,10,0
2011-02-08,2,110,0
2011-02-09,0,4,1
2011-02-10,10,1,4
2011-02-11,0,1,0
2011-02-12,2,0,0
2011-02-13,4,1,1
2011-02-14,1,0,2
2011-02-15,1,6,12
2011-02-17,0,40,1
2011-02-18,0,1,1
2011-02-19,0,0,2
2011-02-20,2,0,0
2011-02-21,1,0,0
2011-02-22,0,2,0
2011-02-23,0,1,0
2011-02-24,1,3,0
2011-02-25,0,1,0
2011-02-26,0,1,1
2011-02-27,0,1,0
2011-02-28,0,11,1
2011-03-01,5,3,3
2011-03-02,1,15,2
2011-03-03,1,2,1
2011-03-04,0,2,3
2011-03-05,1,3,1
2011-03-06,0,1,2
2011-03-07,1,5,6
2011-03-08,2,11,10
2011-03-09,2,9,11
2011-03-10,1,11,11
2011-03-11,2,7,20
2011-03-12,0,7,11
2011-03-13,2,12,27
2011-03-14,3,8,33
2011-03-15,0,9,9
2011-03-16,2,10,21
2011-03-17,0,8,10
2011-03-18,0,20,8
2011-03-19,0,6,8
2011-03-20,0,7,9
2011-03-21,1,8,9
2011-03-22,2,7,14
2011-03-23,12,7,9
2011-03-24,0,42,14
2011-03-25,1,7,21
2011-03-26,0,3,13
2011-03-27,1,3,6
2011-03-28,1,4,6
2011-03-29,2,3,5
2011-03-30,0,6,7
2011-03-31,1,16,4
2011-04-01,5,39,7
2011-04-02,1,16,3
2011-04-03,0,4,3
2011-04-04,2,10,2
2011-04-05,1,9,16
2011-04-06,1,17,16
2011-04-07,1,8,71
2011-04-08,1,9,7
2011-04-09,1,22,15
2011-04-10,0,5,24
2011-04-11,1,8,18
2011-04-12,1,8,4
2011-04-13,1,44,30
2011-04-14,11,8,9
2011-04-15,4,15,55
2011-04-16,1,3,16
2011-04-17,0,3,3
2011-04-18,3,5,0
2011-04-19,2,23,6
2011-04-20,4,144,58
2011-04-21,0,55,11
2011-04-22,0,70,20
2011-04-23,14,29,2
2011-04-24,0,22,6
2011-04-25,1,6,3
2011-04-26,3,4,3
2011-04-27,3,5,4
2011-04-28,5,5,3
2011-04-29,1,4,1
2011-04-30,0,34,4
2011-05-01,0,5,4
2011-05-02,2,7,4
2011-05-03,3,12,7
2011-05-04,1,6,3
2011-05-05,1,6,6
2011-05-06,2,7,7
2011-05-07,1,2,0
2011-05-08,0,25,2
2011-05-09,0,2,0
2011-05-10,2,2,1
2011-05-11,0,7,3
2011-05-12,1,12,6
2011-05-13,1,0,4
2011-05-14,0,13,1
2011-05-15,0,4,4
2011-05-16,11,19,6
2011-05-17,0,2,1
2011-05-18,0,128,3
2011-05-19,12,4,5
2011-05-20,2,2,3
2011-05-21,1,4,5
2011-05-22,1,1,1
2011-05-23,1,1,1
2011-05-24,1,2,0
2011-05-25,0,1,2
2011-05-26,2,5,5
2011-05-27,2,3,2
2011-05-28,0,2,0
2011-05-29,0,4,2
2011-05-30,4,3,2
2011-05-31,1,5,4
2011-06-01,2,3,3
2011-06-02,4,11,3
2011-06-03,2,29,2
2011-06-04,1,6,1
2011-06-05,2,5,2
2011-06-06,2,13,5
2011-06-07,13,8,16
2011-06-08,2,4,2
2011-06-09,3,179,3
2011-06-10,4,8,3
2011-06-11,0,5,2
2011-06-12,1,2,1
2011-06-13,13,17,3
2011-06-14,2,7,3
2011-06-15,2,9,7
2011-06-16,1,16,4
2011-06-17,0,3,5
2011-06-18,0,13,1
2011-06-19,1,7,11
2011-06-20,0,7,7
2011-06-21,3,29,3
2011-06-22,24,21,4
2011-06-23,11,5,2
2011-06-24,2,5,2
2011-06-25,0,3,2
2011-06-26,0,2,2
2011-06-27,13,6,2
2011-06-28,1,10,4
2011-06-29,12,8,6
2011-06-30,2,5,1
2011-07-01,2,3,3
2011-07-02,0,4,2
2011-07-03,1,2,1
2011-07-04,1,2,0
2011-07-05,1,6,6
2011-07-06,2,4,3
2011-07-07,1,3,1
2011-07-08,0,15,1
2011-07-09,0,1,0
2011-07-10,0,0,4
2011-07-11,1,2,2
2011-07-12,10,10,2
2011-07-13,0,6,6
2011-07-14,0,5,1
2011-07-15,2,1,1
2011-07-16,0,2,2
2011-07-17,0,11,7
2011-07-18,6,7,3
2011-07-19,3,19,6
2011-07-20,2,7,26
2011-07-21,2,13,2
2011-07-22,3,3,3
2011-07-23,0,0,1
2011-07-24,1,1,0
2011-07-25,3,4,5
2011-07-26,1,5,2
2011-07-27,1,3,4
2011-07-28,1,4,1
2011-07-29,1,4,12
2011-07-30,0,23,6
2011-07-31,0,0,6
2011-08-01,0,5,0
2011-08-02,1,8,4
2011-08-03,4,4,2
2011-08-04,2,15,1
2011-08-05,1,26,0
2011-08-06,11,2,2
2011-08-07,0,1,10
2011-08-08,14,38,42
2011-08-09,5,68,54
2011-08-10,59,46,45
2011-08-11,5,4,4
2011-08-12,4,0,4
2011-08-13,2,22,5
2011-08-14,0,3,1
2011-08-15,1,0,11
2011-08-16,4,4,4
2011-08-17,2,12,0
2011-08-18,10,17,33
2011-08-19,4,2,9
2011-08-20,1,1,14
2011-08-21,0,5,5
2011-08-22,5,24,25
2011-08-23,7,16,28
2011-08-24,21,8,17
2011-08-25,27,126,38
2011-08-26,5,37,7
2011-08-27,2,5,7
2011-08-28,3,1,1
2011-08-29,3,24,27
2011-08-30,7,6,15
2011-08-31,1,4,5
2011-09-01,1,4,15
2011-09-02,7,21,27
2011-09-03,5,2,0
2011-09-04,1,2,3
2011-09-05,1,1,1
2011-09-06,1,4,3
2011-09-07,2,9,37
2011-09-08,4,3,7
2011-09-09,36,51,14
2011-09-10,0,4,1
2011-09-11,2,0,2
2011-09-12,78,46,63
2011-09-13,4,1,36
2011-09-14,12,4,3
2011-09-15,2,26,5
2011-09-16,3,1,2
2011-09-17,3,3,12
2011-09-18,1,2,3
2011-09-19,2,0,1
2011-09-20,2,4,6
2011-09-21,5,74,8
2011-09-22,8,7,7
2011-09-23,12,3,33
2011-09-24,2,1,1
2011-09-25,0,2,1
2011-09-26,1,0,36
2011-09-27,14,11,3
2011-09-28,4,6,3
2011-09-29,4,17,39
2011-09-30,8,8,57
2011-10-01,1,15,1
2011-10-02,0,2,2
2011-10-03,32,30,19
2011-10-04,16,19,38
2011-10-05,6,13,7
2011-10-06,3,16,19
2011-10-07,0,15,13
2011-10-08,1,1,1
2011-10-09,34,5,14
2011-10-10,24,1,2
2011-10-11,4,3,5
2011-10-12,0,6,1
2011-10-13,11,48,4
2011-10-14,1,1,14
2011-10-15,2,2,3
2011-10-16,0,3,0
2011-10-17,15,1,3
2011-10-18,18,16,21
2011-10-19,5,12,24
2011-10-20,1,3,4
2011-10-21,1,7,4
2011-10-22,1,2,2
2011-10-23,1,1,1
2011-10-24,2,81,13
2011-10-25,2,25,1
2011-10-26,22,1,14
2011-10-27,11,2,7
2011-10-28,4,14,22
2011-10-29,0,5,3
2011-10-30,0,1,32
2011-10-31,4,2,53
2011-11-01,9,9,7
2011-11-02,6,6,15
2011-11-03,1,4,34
2011-11-04,27,7,36
2011-11-05,1,1,2
2011-11-06,0,23,0
2011-11-07,1,3,3
2011-11-08,3,4,7
2011-11-09,0,5,2
2011-11-10,2,3,6
2011-11-11,0,3,2
2011-11-12,0,5,0
2011-11-13,0,2,0
2011-11-14,1,5,6
2011-11-15,2,5,4
2011-11-16,2,7,15
2011-11-17,0,13,16
2011-11-18,0,6,2
2011-11-19,0,1,2
2011-11-20,2,2,1
2011-11-21,1,25,15
2011-11-22,257,1,4
2011-11-23,5,14,10
2011-11-24,1,5,14
2011-11-25,2,8,5
2011-11-26,2,2,2
2011-11-27,2,10,1
2011-11-28,4,27,9
2011-11-29,8,8,16
2011-11-30,6,17,7
2011-12-01,1,7,2
2011-12-02,72,15,7
2011-12-03,4,7,11
2011-12-04,13,20,3
2011-12-05,2,5,13
2011-12-06,5,6,22
2011-12-07,13,2,18
2011-12-08,3,20,25
2011-12-09,15,19,9
2011-12-10,2,5,6
2011-12-11,0,6,0
2011-12-12,1,1,10
2011-12-13,5,3,45
2011-12-14,5,3,35
2011-12-15,5,4,21
2011-12-16,2,15,4
2011-12-17,0,9,2
2011-12-18,0,1,1
2011-12-19,17,45,43
2011-12-20,15,2,5
2011-12-21,8,17,71
2011-12-22,7,4,10
2011-12-23,1,12,24
2011-12-24,2,2,1
2011-12-25,0,1,2
2011-12-26,0,2,3
2011-12-27,12,3,6
2011-12-28,10,2,11
